,Energy_Generated_KWh,Temperature_C,apparent_zenith,azimuth,poa_global
2012-03-29,12.395269366588677,24.994097361783176,102.43202164300311,83.45216652185081,1377.252151843186
2012-03-30,11.88026790360162,28.456821512805405,102.26442366782794,83.08490852885086,1320.0297670668467
2012-03-31,11.510663930816417,26.879577408063355,102.0969277930948,82.71924049428884,1278.9626589796019
2012-04-01,11.944676246284944,25.775120948201486,101.92965058399328,82.35522762430173,1327.1862495872158
2012-04-02,11.814215532564582,25.942527373133945,101.76271053704399,81.99293272607542,1312.690614729398
2012-04-03,13.11814722342471,27.672802038084377,101.59622845906395,81.6324157365342,1457.5719137138567
2012-04-04,11.365170542962082,26.35720986453602,101.43032758858685,81.27373321033679,1262.796726995787
2012-04-05,12.471974600731487,28.40530542865589,101.265133351227,80.91693793318154,1385.774955636832
2012-04-06,12.079196199340622,28.92346175672106,101.1007727600386,80.56207901327474,1342.132911037847
2012-04-07,12.120544103399665,26.546717653762457,100.93737356399157,80.20920280199391,1346.7271225999627
2012-04-08,11.918632022000882,32.28980692189638,100.77506327741858,79.85835466912289,1324.292446888987
2012-04-09,12.768887204018858,30.62326961422136,100.61396817372747,79.50958117384113,1418.7652448909841
2012-04-10,12.793624163414789,28.627199117784507,100.45421223627848,79.16293189690839,1421.5137959349763
2012-04-11,11.761284278630582,32.9189790525827,100.29591606369519,78.81846036182048,1306.8093642922868
2012-04-12,11.851031764143913,28.592921505170626,100.13919578430749,78.47622398045428,1316.7813071271014
2012-04-13,12.309086893223688,27.57728059548625,99.98416212705493,78.13628342230567,1367.6763214692985
2012-04-14,11.843673403780937,26.821602257899812,99.83091982930533,77.79870191075577,1315.9637115312153
2012-04-15,11.752143131907923,30.53420483001507,99.67956747465117,77.46354471122288,1305.7936813231026
2012-04-16,12.156904986785026,26.5261853394497,99.53019774657685,77.1308787618309,1350.7672207538917
2012-04-17,11.864940711558317,28.808232424587313,99.38289797132413,76.80077229135964,1318.3267457287018
2012-04-18,11.333766812282247,28.46829040781365,99.23775079301022,76.47329438017101,1259.3074235869162
2012-04-19,12.658269511552328,28.00600205535109,99.09483485324803,76.14851456391096,1406.4743901724808
2012-04-20,12.533786017568579,29.614026466192687,98.95422537181963,75.8265025997058,1392.642890840953
2012-04-21,11.653963121659842,29.948207545212053,98.81599457838611,75.50732840923587,1294.884791295538
2012-04-22,12.936233320188814,27.59554417689632,98.68021197122378,75.19106213091624,1437.359257798757
2012-04-23,12.092836933403536,28.71233220615744,98.5469444280287,74.87777421866883,1343.6485481559484
2012-04-24,11.615367968996201,26.807294488826578,98.41625624452152,74.56753556662875,1290.596440999578
2012-04-25,12.040190603740484,22.75602508659163,98.28820918168844,74.26041763631957,1337.798955971165
2012-04-26,11.13968439154084,26.530436718255654,98.16286261194065,73.95649250195669,1237.7427101712044
2012-04-27,11.30472334930516,24.624852370332597,98.04027381072676,73.65583271854257,1256.0803721450177
2012-04-28,11.58870901226038,28.65949395093824,97.92049842650057,73.35851098640552,1287.634334695598
2012-04-29,11.553995799267925,25.814599369146475,97.80359111701478,73.06459968212579,1283.7773110297694
2012-04-30,11.46618770307776,21.986712915012237,97.68960628063309,72.77417033269262,1274.020855897529
2012-05-01,11.603562561829978,26.82946306520469,97.57859874430187,72.48729302892411,1289.2847290922198
